Sample,Population,Gender
hu011C57,white-pgp,
hu016B28,white-pgp,
hu0211D6,white-pgp,
hu025CEA,white-pgp,
hu032C04,white-pgp,
hu034DB1,white-pgp,
hu040C0A,white-pgp,
hu04DF3C,white-pgp,
hu050E9C,white-pgp,
hu05FD49,white-pgp,
hu089792,white-pgp,
hu0A4518,white-pgp,
hu0D1FA1,white-pgp,
hu0D879F,white-pgp,
hu0E64A1,white-pgp,
hu1187FF,white-pgp,
hu132B5C,white-pgp,
hu15FECA,white-pgp,
hu1904EC,white-pgp,
hu19C09F,white-pgp,
hu1F73AB,white-pgp,
hu241DEA,white-pgp,
hu24C863,white-pgp,
hu259AC7,white-pgp,
hu26B551,white-pgp,
hu27FD1F,white-pgp,
hu2843C9,white-pgp,
hu297562,white-pgp,
hu2D6140,white-pgp,
hu2DBF2D,white-pgp,
hu3073E3,white-pgp,
hu33E2D9,white-pgp,
hu342A08,white-pgp,
hu34D5B9,white-pgp,
hu34D5B9,white-pgp,
hu34D5B9,white-pgp,
hu3A1B15,white-pgp,
hu3C0611,white-pgp,
hu3CAB43,white-pgp,
hu4040B8,white-pgp,
hu42D651,white-pgp,
hu432EB5,white-pgp,
hu4339C0,white-pgp,
hu448C4B,white-pgp,
hu44DCFF,white-pgp,
hu474789,white-pgp,
hu48C4EB,white-pgp,
hu4B0812,white-pgp,
hu4BE6F2,white-pgp,
hu4BF398,white-pgp,
hu4CA5B9,white-pgp,
hu4FE0D1,white-pgp,
hu52B7E5,white-pgp,
hu52F345,white-pgp,
hu553620,white-pgp,
hu57A769,white-pgp,
hu589D0B,white-pgp,
hu599905,white-pgp,
hu5B8771,white-pgp,
hu5CD2C6,white-pgp,
hu5E55F5,white-pgp,
hu5FA322,white-pgp,
hu5FCE15,white-pgp,
hu60180F,white-pgp,
hu60AB7C,white-pgp,
hu619F51,white-pgp,
hu627574,white-pgp,
hu63EB0A,white-pgp,
hu64DBF7,white-pgp,
hu67EBB3,white-pgp,
hu687B6B,white-pgp,
hu6C733E,white-pgp,
hu6E4515,white-pgp,
hu71E59D,white-pgp,
hu72A81D,white-pgp,
hu72C17A,white-pgp,
hu76CAA5,white-pgp,
hu775356,white-pgp,
hu7852C5,white-pgp,
hu79F922,white-pgp,
hu7A2F1D,white-pgp,
hu7A4AD1,white-pgp,
hu7DCBF9,white-pgp,
hu8073B9,white-pgp,
hu8229AE,white-pgp,
hu82E689,white-pgp,
hu868880,white-pgp,
hu88A079,white-pgp,
hu8E2A35,white-pgp,
hu8E87A9,white-pgp,
hu8F918A,white-pgp,
hu90B053,white-pgp,
hu939B7C,white-pgp,
huA05317,white-pgp,
huA0E089,white-pgp,
huA49E22,white-pgp,
huA4E2CF,white-pgp,
huA4F281,white-pgp,
huAA245C,white-pgp,
huAA53E0,white-pgp,
huAEADC0,white-pgp,
huAEC1B0,white-pgp,
huB1FD55,white-pgp,
huB4883B,white-pgp,
huB4940E,white-pgp,
huB4D223,white-pgp,
huB4F9B2,white-pgp,
huBA30D4,white-pgp,
huBAAC98,white-pgp,
huBE0B25,white-pgp,
huBEDA0B,white-pgp,
huC14AE1,white-pgp,
huC29627,white-pgp,
huC3160A,white-pgp,
huC434ED,white-pgp,
huC5733C,white-pgp,
huC92BC9,white-pgp,
huC93106,white-pgp,
huCA14D2,white-pgp,
huCCAFD0,white-pgp,
huCD380F,white-pgp,
huD09534,white-pgp,
huD103CC,white-pgp,
huD10E53,white-pgp,
huD37D14,white-pgp,
huD3A569,white-pgp,
huD52556,white-pgp,
huD81F3D,white-pgp,
huDBD591,white-pgp,
huDBF9DD,white-pgp,
huDE435D,white-pgp,
huDF04CC,white-pgp,
huE2E371,white-pgp,
huE58004,white-pgp,
huE9B698,white-pgp,
huED0F40,white-pgp,
huEDEA65,white-pgp,
huEDF7DA,white-pgp,
huF1DC30,white-pgp,
huF2DA6F,white-pgp,
huF5AD12,white-pgp,
huF5E0B6,white-pgp,
huF80F84,white-pgp,
huFA70A3,white-pgp,
huFAF983,white-pgp,
huFCC1C1,white-pgp,
huFE71F3,white-pgp,
huFFAD87,white-pgp,
huFFB09D,white-pgp,
hu7123C1,white-pgp,
hu7B594C,white-pgp,
huEBD467,white-pgp,
hu3F864B,white-pgp,
huEC6EEC,white-pgp,
huEA4EE5,columbian-pgp,
hu49F623,ethiopian-pgp,
huCA017E,asian-pgp,
hu92FD55,asian-pgp,
hu38168C,asian-pgp,
huAE4A11,white-pgp,
hu82436A,white-pgp,
huAFA81C,white-pgp,
hu955EE1,white-pgp,
huA02824,white-pgp,
hu92C40A,white-pgp,
hu68929D,white-pgp,
hu620F18,white-pgp,
hu602487,white-pgp,
hu470099,white-pgp,
hu2FEC01,white-pgp,
hu2C1D94,white-pgp,
hu704A85,white-pgp,
hu661AD0,white-pgp,
hu0CF2EE,white-pgp,
hu04F220,white-pgp,
hu1378E3,white-pgp,
hu3A8D13,white-pgp,
hu5FB1B9,white-pgp,
huD9EE1E,white-pgp,
